id,institution,type,lon,lat,hasdata,hascal,calstart,calend,mincph,maxcph,calfactjfc1,sensitivity,biomass,rhob,thetaeq,thetaeq2,thetaeqavg
1,UP,CRS 2000-B,12.9583317400021,52.4664062086617,TRUE,TRUE,2019-11-21 11:30:00,2019-11-23 09:45:00,1100,3000,1.143399,1.19,1.746,1.315,0.027,0.027,0.027
2,UP,CRS 1000,12.9562361458478,52.4661617321537,FALSE,TRUE,2019-10-15 11:40:00,2019-10-17 17:15:00,300,1100,0.436303,0.452,6.538,1.257,0.029,0.028,0.028
4,UP,Lab-C,12.9578751175396,52.4671252316586,TRUE,TRUE,2020-01-10 12:00:00,2020-01-12 08:30:00,4000,12000,4.554603,4.544,4.64,1.38,0.028,0.028,0.028
9,UFZ,Styx Neutronica,12.9575295950403,52.4653568576109,FALSE,TRUE,2019-12-11 09:10:00,2019-12-12 09:45:00,2500,5000,NaN,2.402,3.997,1.214,0.031,0.03,0.03
11,UP,Lab-C,12.9592148599405,52.466433849712,TRUE,FALSE,2019-12-17 14:40:00,2019-12-19 10:38:00,5000,10000,NaN,4.754,1.378,1.346,0.027,0.027,0.027
12,UFZ,Styx Neutronica,12.9585436129276,52.4675751373933,FALSE,TRUE,2020-01-13 11:56:00,2020-01-16 12:00:00,1500,4000,NaN,1.818,3.102,1.316,0.028,0.028,0.028
13,UFZ,Styx Neutronica,12.9592917462046,52.4657047510228,FALSE,TRUE,2020-01-09 09:40:00,2020-01-10 10:10:00,500,1800,NaN,2.165,2.497,1.239,0.033,0.032,0.032
21,GFZ,CRS 2000-B,12.9574862584772,52.4658381036229,TRUE,TRUE,2019-12-05 12:50:00,2019-12-07 08:30:00,1100,3000,1.143399,1.132,2.781,1.366,0.035,0.034,0.035
22,GFZ,CRS 2000-B,12.9585710799963,52.4655704453939,TRUE,TRUE,2019-11-07 14:10:00,2019-11-09 14:30:00,1100,3000,1.168573,1.161,1.477,1.296,0.034,0.033,0.034
26,UP,CRS 1000/Lab-C,12.957378133012,52.4664535955883,TRUE,TRUE,2019-10-22 10:50:00,2019-10-24 14:00:00,2100,4900,0.436303,2.04,3.408,1.342,0.028,0.028,0.028
27,UP,CRS 1000/Lab-C,12.9569787904119,52.4668381498161,TRUE,TRUE,2020-01-17 10:38:00,2020-01-19 08:00:00,2100,4900,0.459029,2.024,2.913,1.429,0.028,0.027,0.028
28,UP,CRS 1000,12.9580978048706,52.4652258235055,FALSE,TRUE,2019-11-04 13:06:00,2019-11-06 14:30:00,300,1300,0.436303,0.459,1.84,1.311,0.03,0.03,0.03
31,UFZ,Styx Neutronica,12.961182278333,52.465656412333,FALSE,FALSE,,,500,1800,NaN,2.165,1.5,1.31762559042618,0.03,0.03,0.03
32,UP,Finapp-5,12.9595983105,52.463469564667,TRUE,FALSE,,,1300,3500,,1.42291,1.5,1.31762559042618,0.03,0.03,0.03
33,UP,Lab-C,12.954566974333,52.468820081833,TRUE,FALSE,,,2000,7000,,2.87268,1.5,1.31762559042618,0.03,0.03,0.03
34,UP,CRS-1000,12.9624912475,52.463647958667,TRUE,FALSE,,,300,1100,,0.452,1.5,1.31762559042618,0.03,0.03,0.03
35,UP,CRS-1000,12.967242815667,52.464664753333,TRUE,FALSE,,,300,1100,,0.452,1.5,1.31762559042618,0.03,0.03,0.03
36,UFZ,Styx Neutronica,12.9583182265,52.4684990835,FALSE,FALSE,,,1500,4000,NaN,2.236,25,1.31762559042618,0.03,0.03,0.03
38,UFZ,Styx Neutronica,12.958145536333,52.464395912,FALSE,FALSE,,,2500,5000,NaN,2.277,1.5,1.31762559042618,0.03,0.03,0.03
